formattedTime-value
Apr 20, 2015 at 7:00 AM-48.083333333333336
Apr 21, 2015 at 7:00 AM-52.875
Apr 22, 2015 at 7:00 AM-51.5
Apr 23, 2015 at 7:00 AM-45.625
Apr 24, 2015 at 7:00 AM-46.791666666666664
Apr 25, 2015 at 7:00 AM-41.041666666666664
Apr 26, 2015 at 7:00 AM-42.583333333333336
Apr 27, 2015 at 7:00 AM-47.333333333333336
Apr 28, 2015 at 7:00 AM-46.125
Apr 29, 2015 at 7:00 AM-43.75
Apr 30, 2015 at 7:00 AM-55.958333333333336
May 1, 2015 at 7:00 AM-53.166666666666664
May 2, 2015 at 7:00 AM-45.666666666666664
May 3, 2015 at 7:00 AM-47.333333333333336
May 4, 2015 at 7:00 AM-46.833333333333336
May 5, 2015 at 7:00 AM-44.0
May 6, 2015 at 7:00 AM-49.833333333333336
May 7, 2015 at 7:00 AM-44.083333333333336
May 8, 2015 at 7:00 AM-45.458333333333336
May 9, 2015 at 7:00 AM-41.416666666666664
May 10, 2015 at 7:00 AM-44.333333333333336
May 11, 2015 at 7:00 AM-44.125
May 12, 2015 at 7:00 AM-43.916666666666664
May 13, 2015 at 7:00 AM-48.958333333333336
May 14, 2015 at 7:00 AM-29.708333333333332
May 15, 2015 at 7:00 AM-22.5
May 16, 2015 at 7:00 AM-22.916666666666668
May 17, 2015 at 7:00 AM-21.458333333333332
May 18, 2015 at 7:00 AM-21.541666666666668
May 19, 2015 at 7:00 AM-23.875
May 20, 2015 at 7:00 AM-25.791666666666668
May 21, 2015 at 7:00 AM-50.125
May 22, 2015 at 7:00 AM-40.416666666666664
May 23, 2015 at 7:00 AM-40.375
May 24, 2015 at 7:00 AM-44.458333333333336
May 25, 2015 at 7:00 AM-48.625
May 26, 2015 at 7:00 AM-46.166666666666664
May 27, 2015 at 7:00 AM-46.791666666666664
May 28, 2015 at 7:00 AM-40.208333333333336
May 29, 2015 at 7:00 AM-48.75
May 30, 2015 at 7:00 AM-57.958333333333336
May 31, 2015 at 7:00 AM-54.375
Jun 1, 2015 at 7:00 AM-47.208333333333336
Jun 2, 2015 at 7:00 AM-43.916666666666664
Jun 3, 2015 at 7:00 AM-46.833333333333336
Jun 4, 2015 at 7:00 AM-48.958333333333336
Jun 5, 2015 at 7:00 AM-45.25
Jun 6, 2015 at 7:00 AM-48.708333333333336
Jun 7, 2015 at 7:00 AM-43.125
Jun 8, 2015 at 7:00 AM-47.5
Jun 9, 2015 at 7:00 AM-47.666666666666664
Jun 10, 2015 at 7:00 AM-46.083333333333336
Jun 11, 2015 at 7:00 AM-53.25
Jun 12, 2015 at 7:00 AM-49.25
Jun 13, 2015 at 7:00 AM-45.25
Jun 14, 2015 at 7:00 AM-50.833333333333336
Jun 15, 2015 at 7:00 AM-51.208333333333336
Jun 16, 2015 at 7:00 AM-58.166666666666664
Jun 17, 2015 at 7:00 AM-62.75
